client_id,client_type,first_name,last_name,age,satisfaction_score,property_count,total_spent,avg_price,cluster
C0092,Individual,Brock,Fischer,,3,8,2817926.96,352240.87,0
C0093,Individual,Curtis,Howard,63.73169062286105,2,5,1732558.38,346511.676,0
C0094,Individual,Avah,Huang,,5,5,1062675.82,212535.16400000002,1
C0095,Individual,Frank,Meyer,,3,6,1668973.02,278162.17,0
C0096,Individual,Darien,Dorsey,,3,4,1363013.17,340753.2925,1
C0097,Individual,Franklin,Mack,,5,7,2189906.04,312843.72000000003,0
C0098,Individual,Elena,Petrova,,3,4,1131592.65,282898.1625,1
C0099,Individual,Jack,Hanson,84.50924024640658,4,6,2000308.58,333384.76333333337,0
C0100,Individual,Emmett,Estes,56.99931553730322,3,4,1449544.65,362386.1625,3
C0101,Individual,Aniya,Miller,75.26078028747433,3,4,1125013.8,281253.45,1
C0102,Individual,Jack,Anderson,,5,9,3403263.85,378140.4277777778,0
C0103,Individual,Kael,Hurley,,3,5,1483838.77,296767.754,1
C0104,Individual,Kamden,Stewart,,5,5,1677155.01,335431.002,0
C0105,Individual,Aniyah,Ali,66.58726899383984,2,5,1328084.36,265616.87200000003,1
C0106,Individual,Simon,Bennett,72.9883641341547,4,4,957679.27,239419.8175,1
C0107,Individual,Laurel,Benitez,66.8309377138946,4,5,1715058.23,343011.646,0
C0108,Individual,Trey,Strong,,4,6,1998798.72,333133.12,0
C0109,Individual,Myah,Roman,93.08418891170432,5,5,1995551.0899999999,399110.218,0
C0110,Individual,Nyla,Blake,67.00068446269678,5,5,1205555.46,241111.092,1
C0111,Individual,Kole,Shannon,,2,4,1198421.22,299605.305,1
C0112,Individual,Melany,Glover,65.67556468172485,1,5,1775142.2,355028.44,0
C0113,Individual,Arthur,Bray,,4,4,1414433.46,353608.365,3
C0114,Individual,Kamila,Collier,,1,4,1124004.05,281001.0125,1
C0115,Individual,Amanda,Simon,47.50444900752909,5,5,1757354.59,351470.918,0
C0116,Individual,Erika,Steward,70.82819986310746,4,8,2484590.08,310573.76,0
C0117,Individual,Jakobe,Bailey,61.661875427789184,4,8,2884556.25,360569.53125,0
C0118,Individual,Sonia,Choi,77.56878850102669,5,4,1218377.19,304594.2975,1
C0119,Individual,Erika,Gallagher,,1,4,1603043.92,400760.98,3
C0120,Individual,Madeline,Michael,,4,5,1753587.39,350717.478,0
C0121,Individual,Bennett,Chen,,2,5,1169150.31,233830.062,1
C0122,Individual,Belinda,Hogan,,1,4,1412560.68,353140.17,3
C0123,Individual,Johanna,Fisher,,4,5,1821348.69,364269.738,0
C0124,Individual,Jaylen,Turner,,4,5,1613985.08,322797.016,0
C0125,Individual,Michael,Juarez,,4,4,1341108.25,335277.0625,3
C0126,Individual,Adriana,Shaffer,53.90006844626968,2,5,1319929.46,263985.892,1
C0127,Individual,Julio,Leonard,,2,4,967474.23,241868.5575,1
C0128,Company,Abdiel,Co,,5,5,1639392.9500000002,327878.59,2
C0129,Individual,Warren,Pugh,,5,4,1748372.75,437093.1875,3
C0130,Individual,Luis,Crane,,3,4,1488042.88,372010.72,3
C0131,Individual,Mohammad,Irwin,54.507871321013006,1,5,1428058.5499999998,285611.70999999996,1
C0132,Individual,Davion,Stout,,1,4,1203775.04,300943.76,1
C0133,Individual,Logan,Simmons,,4,4,1449799.93,362449.9825,3
C0134,Individual,Kaylin,Villarreal,,3,5,1761669.8699999999,352333.974,0
C0135,Individual,Ruben,Melton,87.25256673511294,2,4,1221442.92,305360.73,1
C0136,Individual,Gianni,Fritz,,3,5,1892554.72,378510.944,0
C0137,Individual,Emilie,Morrison,,3,4,989750.45,247437.6125,1
C0138,Individual,Crystal,Wyatt,,3,5,1367824.55,273564.91000000003,1
C0139,Individual,Annabel,Robles,,5,5,1807366.3,361473.26,0
C0140,Individual,Rachel,Cross,,3,5,1559561.53,311912.306,0
C0141,Individual,Madalyn,Mercer,,5,5,1765019.09,353003.818,0
C0142,Individual,Michelle,Cameron,48.002737850787135,3,5,1673770.19,334754.038,0
C0143,Individual,Ezra,Lozano,,1,8,2389960.3,298745.0375,0
C0144,Individual,Ramiro,Oneill,,4,5,1897739.74,379547.948,0
C0145,Individual,Emely,Watts,,4,5,1746571.55,349314.31,0
C0146,Individual,Hazel,Ayers,63.34017796030116,2,4,1481536.3900000001,370384.09750000003,3
C0147,Individual,Cedric,Goodwin,,4,5,1398309.27,279661.854,1
C0148,Individual,Dayton,Hatfield,,4,4,1700383.7,425095.925,3
C0149,Individual,Piotr,Aleksandrov,70.507871321013,3,4,1049009.0,262252.25,1
C0150,Individual,Memphis,Mcconnell,,2,4,1846066.58,461516.645,3
C0151,Individual,Arabella,Ferrell,,1,5,1589086.32,317817.264,3
C0152,Individual,Sincere,Hansen,,2,7,2539205.93,362743.7042857143,0
C0153,Individual,Lara,Carrillo,,5,5,1560375.26,312075.052,0
C0154,Individual,Valentina,Simpson,,4,5,2142457.31,428491.462,0
C0155,Company,Kamd,Co,,5,5,1622885.53,324577.106,2
C0156,Individual,Case,Sanchez,,5,4,1344903.47,336225.8675,1
C0157,Individual,Van,Charles,,2,4,1060400.03,265100.0075,1
C0158,Individual,Emmy,Singh,46.50513347022587,3,4,1439477.66,359869.415,3
C0159,Individual,Colin,Campos,,3,4,1596507.45,399126.8625,3
C0160,Individual,Anya,Stephenson,66.98425735797399,4,5,1679716.96,335943.392,0
C0161,Individual,Parker,Poole,74.5681040383299,5,9,2534264.26,281584.91777777777,0
C0162,Individual,Ivan,Bright,,4,4,1135363.52,283840.88,1
C0163,Individual,Larry,Turner,,5,4,1506594.21,376648.5525,3
C0164,Individual,Matthew,Nelson,,5,4,1436152.54,359038.135,3
C0165,Individual,Mary,Hall,69.90006844626969,3,3,1276849.33,425616.44333333336,3
C0166,Individual,Carolyn,Weaver,,4,4,1273643.37,318410.8425,3
C0167,Individual,Grace,Green,71.33744010951403,3,7,2749577.33,392796.7614285714,0
C0168,Individual,Pamela,Sanders,65.99589322381931,3,4,1491785.87,372946.4675,3
C0169,Individual,Terry,Turner,,5,3,688864.2,229621.4,1
C0170,Individual,Jacob,Jones,,5,3,1161316.17,387105.38999999996,3
C0171,Individual,Julie,Sanders,35.08555783709788,5,4,1278753.71,319688.4275,1
C0172,Individual,Catherine,Carter,,1,4,1681471.9100000001,420367.97750000004,3
C0173,Individual,Amber,Wilson,,5,8,2619968.43,327496.05375,0
C0174,Individual,Rachel,Harris,43.9151266255989,3,3,865359.73,288453.24333333335,1
C0175,Individual,Brandon,Alexander,64.16700889801506,5,4,1606138.1199999999,401534.52999999997,3
C0176,Individual,Hannah,Williams,,2,6,2681927.91,446987.98500000004,0
C0177,Individual,Sarah,Hansen,75.25256673511294,5,7,2269897.21,324271.02999999997,0
C0178,Individual,Laura,Chavez,,4,7,2665917.96,380845.42285714287,0
C0179,Individual,Ashley,Turner,40.31211498973306,2,8,2131372.11,266421.51375,0
C0180,Individual,Jacob,Wilson,,2,7,2660292.37,380041.76714285713,0
C0181,Individual,Lawrence,Peterson,,2,7,2047189.62,292455.66000000003,0
C0182,Individual,Virginia,Bennett,54.507871321013006,1,8,3082362.35,385295.29375,0
C0183,Individual,Nicholas,Green,,3,7,1883106.92,269015.27428571426,0
C0184,Individual,Peter,Pierce,,1,6,2618938.16,436489.69333333336,0
C0185,Individual,Andrea,Nelson,80.92539356605064,4,7,2491911.81,355987.40142857144,0
C0186,Individual,Carol,Green,44.17522245037645,1,8,2674286.63,334285.82875,0
C0187,Individual,Cheryl,Kim,,1,6,2066651.1400000001,344441.8566666667,0
C0188,Individual,Jose,Martin,85.65639972621491,5,7,2891447.6,413063.9428571429,0
C0189,Individual,Anna,Adams,67.48254620123203,2,7,2209659.42,315665.6314285714,0
C0190,Individual,Karen,Johnson,,2,7,2276701.17,325243.02428571426,0
C0191,Individual,Sarah,Turner,49.08145106091718,3,8,2172926.7600000002,271615.84500000003,0
C0192,Individual,Margaret,Moore,42.332648870636554,2,7,2900509.0999999996,414358.4428571428,0
C0193,Individual,Sharon,Campbell,57.82067077344285,4,7,1933778.2399999998,276254.03428571427,0
C0194,Individual,Jonathan,Hall,,5,7,2759372.27,394196.03857142857,0
C0195,Individual,Sean,Jones,,2,7,2102233.85,300319.12142857147,0
C0196,Individual,Alexander,Adams,,5,6,2611736.44,435289.4066666667,0
C0197,Individual,Kevin,Wright,81.927446954141,4,8,2775768.6,346971.075,0
C0198,Individual,Michelle,White,,4,8,2399689.67,299961.20875,0
C0199,Individual,Ryan,Brown,,3,7,2582959.87,368994.26714285713,0
C0200,Individual,Linda,Harris,82.08076659822039,1,4,1071359.3900000001,267839.84750000003,1
C0201,Individual,Lauren,Weaver,,1,4,1298787.54,324696.885,1
C0202,Individual,Jack,Reyes,29.56331279945243,1,3,1019272.5900000001,339757.53,1
C0203,Individual,Christine,Brooks,,4,4,1242478.83,310619.7075,1
C0204,Individual,Joyce,Pierce,79.40041067761807,5,3,934432.98,311477.66,1
C0205,Individual,Kelly,Nelson,,1,3,949224.48,316408.16,1
C0206,Individual,Nancy,Roberts,69.07597535934292,1,3,853060.9299999999,284353.6433333333,1
C0207,Individual,Kyle,Gray,,4,3,889948.76,296649.58666666667,1
C0208,Individual,Mark,James,,4,4,1199654.38,299913.595,1
C0209,Individual,Kyle,Moore,,3,4,979868.13,244967.0325,1
C0210,Individual,Janice,Price,,2,4,1346156.55,336539.1375,3
C0211,Individual,Amy,Evans,,3,4,1254240.07,313560.0175,1
C0212,Individual,Jacob,Wood,,4,3,1068278.76,356092.92,1
C0213,Individual,Jason,Gray,,5,3,809691.13,269897.04333333333,1
C0214,Individual,Helen,Wood,,5,3,1070534.6400000001,356844.88000000006,1
C0215,Individual,Lauren,Foster,26.902121834360027,4,3,1032856.46,344285.48666666663,1
C0216,Individual,Albert,Hansen,,1,4,1352642.3399999999,338160.58499999996,1
C0217,Individual,Deborah,Miller,41.90006844626968,3,4,1238434.91,309608.7275,1
C0218,Individual,Shirley,Anderson,,2,3,836639.27,278879.75666666665,1
C0219,Individual,William,Turner,,4,4,1267653.57,316913.3925,3
C0220,Individual,Walter,Phillips,74.99794661190965,1,3,1060812.68,353604.2266666666,1
C0221,Company,Atlas,Co,,5,4,1377133.5999999999,344283.39999999997,2
C0222,Individual,Christopher,Stone,69.57152635181383,3,3,1223560.82,407853.6066666667,3
C0223,Individual,Patrick,Hansen,52.56125941136208,3,4,969341.87,242335.4675,1
C0224,Individual,Nathan,Richardson,,5,3,1189255.63,396418.5433333333,3
C0225,Individual,Evelyn,Reyes,,1,4,1120626.94,280156.735,1
C0226,Individual,Julia,Jordan,67.90143737166325,2,3,1571251.03,523750.3433333333,3
C0227,Individual,Rachel,Evans,,5,3,942245.37,314081.79,1
C0228,Individual,Hannah,Owens,,4,3,606605.72,202201.90666666665,1
C0229,Individual,Jose,Turner,,5,3,892220.13,297406.71,1
C0230,Company,Forsyte,Co,,4,4,1457429.02,364357.255,2
C0231,Individual,Ronald,Rogers,,2,3,729893.08,243297.69333333333,1
C0232,Individual,Megan,Kim,64.08761122518823,3,4,1276710.4900000002,319177.62250000006,1
C0233,Individual,Larry,Garcia,28.733744010951405,4,4,1105806.54,276451.635,1
C0234,Individual,Andrea,Hughes,47.26078028747433,1,3,839967.04,279989.01333333337,1
C0235,Individual,Kenneth,Allen,76.65160848733744,5,4,1268586.58,317146.645,1
C0236,Individual,Gerald,Howard,53.817932922655714,3,3,1321475.69,440491.89666666667,3
C0237,Individual,Jason,Nelson,41.58521560574949,5,3,1392353.31,464117.77,3
C0238,Individual,Amber,Patterson,44.40520191649555,4,3,1125732.72,375244.24,3
C0239,Individual,Megan,Baker,,3,4,1352763.67,338190.9175,3
C0240,Individual,Amber,Morales,,3,3,935028.28,311676.0933333333,1
C0241,Individual,Kelly,Anderson,,5,3,1025934.71,341978.23666666663,1
C0242,Individual,Stephen,Peterson,,3,4,1358315.73,339578.9325,3
C0243,Individual,Nancy,Patterson,47.90143737166324,2,4,1382777.8900000001,345694.47250000003,3
C0244,Individual,Joyce,Pierce,27.838466803559207,1,3,1046652.28,348884.0933333333,3
C0245,Individual,Sean,Long,52.407939767282684,4,3,1354584.5,451528.1666666667,3
C0246,Individual,Stephen,Pierce,,1,3,1024485.26,341495.08666666667,1
C0247,Individual,Kevin,Morris,,1,4,1696540.52,424135.13,3
C0248,Individual,Carl,Collins,57.48665297741273,4,3,1035934.63,345311.54333333333,1
C0249,Individual,Stephanie,Montgomery,57.497604380561256,4,4,1142995.52,285748.88,1
C0250,Individual,Justin,Stewart,,2,3,982306.66,327435.55333333334,1
C0251,Individual,Janice,Chavez,49.81519507186858,5,3,463611.95,154537.31666666668,1
C0252,Individual,Elizabeth,Rogers,,2,3,1082221.48,360740.49333333335,3
C0253,Individual,Betty,Hughes,,4,4,1239226.11,309806.5275,1
C0254,Individual,Rachel,Freeman,,5,4,1332152.57,333038.1425,3
C0255,Individual,Sara,Jones,65.31964407939768,3,4,1689083.06,422270.765,3
C0256,Individual,Anthony,Hughes,35.48528405201917,1,3,1150229.15,383409.7166666666,3
C0257,Individual,Nicholas,Kim,,1,3,1145456.23,381818.74333333335,3
C0258,Individual,Carl,Murray,,4,3,1001712.37,333904.12333333335,1
C0259,Individual,Emma,Chavez,,4,3,779396.4099999999,259798.80333333332,1
C0260,Individual,Rebecca,Wood,79.83572895277207,3,4,1057192.79,264298.1975,1
C0261,Company,Celera,Co,,4,4,2094623.1,523655.775,2
C0262,Individual,Billy,Bryant,,2,3,1233260.4,411086.8,3
C0263,Individual,Anthony,Garcia,44.84052019164955,2,3,969140.41,323046.80333333334,1
C0264,Individual,Melissa,Baker,33.72758384668035,2,4,1127766.02,281941.505,1
C0265,Company,Celera,Co,,1,4,1708031.99,427007.9975,2
C0266,Individual,Aaron,Owens,,5,3,931646.38,310548.79333333333,1
C0267,Individual,Judy,Howard,77.56057494866529,4,4,1314495.01,328623.7525,1
C0268,Individual,Danielle,Carter,,3,4,1108939.8599999999,277234.96499999997,1
C0269,Individual,David,Stewart,57.3305954825462,2,3,1049110.08,349703.36000000004,1
C0270,Individual,Megan,Allen,,5,3,924009.9,308003.3,1
C0271,Individual,Laura,Hughes,,3,4,1295689.37,323922.3425,1
C0272,Individual,Pamela,Green,32.837782340862425,5,4,1439584.37,359896.0925,3
C0273,Individual,Paul,Morales,,2,3,682452.64,227484.21333333335,1
C0274,Individual,Raymond,Young,75.67693360711841,2,3,1343449.34,447816.4466666667,3
C0275,Individual,William,Thompson,,1,4,1237500.3,309375.075,1
C0276,Individual,Gloria,Harris,,5,3,1011195.98,337065.32666666666,1
C0277,Individual,Jordan,Garcia,,1,3,1123449.53,374483.1766666667,3
C0278,Individual,Margaret,Foster,70.839151266256,2,3,1442538.67,480846.2233333333,3
C0279,Individual,Heather,Montgomery,,1,3,1012986.25,337662.0833333333,1
C0280,Individual,Nathan,Price,,4,4,1282020.93,320505.2325,1
C0281,Individual,Katherine,Phillips,,1,3,1256275.37,418758.4566666667,3
C0282,Individual,Emily,Owens,,1,4,973863.8,243465.95,1
C0283,Individual,Susan,Edwards,64.06570841889118,2,4,1118599.47,279649.8675,1
C0284,Individual,Patrick,Owens,,4,4,1251975.85,312993.9625,1
C0285,Individual,Billy,Parker,27.241615331964407,3,4,1679056.13,419764.0325,3
C0286,Individual,Noah,Brooks,,1,3,859353.0900000001,286451.03,1
C0287,Individual,Joan,Bell,35.98631074606434,5,3,1171265.03,390421.6766666667,3
C0288,Individual,Kevin,Freeman,28.58590006844627,4,4,1364289.23,341072.3075,3
C0289,Individual,Laura,Hayes,,5,4,1533862.35,383465.5875,3
C0290,Individual,Ryan,Watson,64.42436687200548,2,3,1215398.18,405132.7266666666,3
C0291,Individual,James,Bryant,72.91444216290212,2,3,1322506.76,440835.58666666667,3
C0292,Individual,Karen,Watson,80.50650239561944,1,4,1442818.3399999999,360704.58499999996,3
C0293,Individual,Ruth,Collins,32.92813141683778,4,4,1580876.65,395219.1625,3
C0294,Individual,Nicholas,Reyes,,3,4,1027250.91,256812.7275,1
C0295,Individual,Roger,Harris,58.743326488706366,3,3,1350375.73,450125.24333333335,3
C0296,Individual,Mark,Young,42.16290212183436,1,3,1142875.46,380958.48666666663,3
C0297,Individual,Julia,Murray,,5,4,1709184.75,427296.1875,3
C0298,Individual,Sarah,Patterson,53.56605065023956,3,4,1262479.23,315619.8075,3
C0299,Individual,Barbara,Davis,49.08966461327858,5,4,1177661.76,294415.44,1
C0300,Individual,Zachary,Peterson,67.15126625598904,5,3,844956.55,281652.18333333335,1
C0301,Individual,Lisa,Alexander,67.26078028747433,4,3,1045776.52,348592.17333333334,1
C0302,Individual,Maria,Edwards,,1,4,1654300.33,413575.0825,3
C0303,Individual,Betty,Owens,68.9034907597536,5,4,1519113.12,379778.28,3
C0304,Individual,Patrick,Morris,,1,4,1685753.28,421438.32,3
C0305,Individual,Emily,Kim,,1,3,1327736.23,442578.74333333335,3
C0306,Individual,Samuel,Foster,38.16563997262149,1,4,1399698.79,349924.6975,3
C0307,Individual,Samuel,Freeman,,5,4,1490170.3800000001,372542.59500000003,3
C0308,Individual,Catherine,Roberts,53.65092402464066,4,3,1176582.54,392194.18,3
C0309,Individual,Stephanie,Cox,,4,3,1382649.58,460883.19333333336,3
C0310,Individual,Edward,Weaver,34.091718001368925,3,3,1389329.62,463109.87333333335,3
C0311,Individual,Justin,Anderson,74.23956194387407,2,4,1632999.56,408249.89,3
C0312,Individual,Zachary,Cooper,,3,4,1105668.66,276417.165,1
C0313,Company,Stratos,Co,52.14784394250513,1,3,1091085.9300000002,363695.31000000006,2
C0314,Individual,Andrew,Jones,,4,3,1040795.02,346931.67333333334,1
C0315,Individual,Michael,Phillips,,5,4,1178606.56,294651.64,1
C0316,Individual,Brandon,Martin,,4,4,1792447.27,448111.8175,3
C0317,Individual,Amber,Hansen,,2,3,1248444.31,416148.10333333333,3
C0318,Individual,Amy,Peterson,,5,3,871968.67,290656.2233333333,1
C0319,Company,Zynex,Co,30.562628336755647,5,4,2061054.65,515263.6625,2
C0320,Individual,Tyler,Cox,41.50855578370979,3,3,1317732.09,439244.03,3
C0321,Individual,Jesse,Cook,34.39561943874059,2,4,1701753.71,425438.4275,3
C0322,Individual,Deborah,Moore,,2,3,1347002.93,449000.9766666666,3
C0323,Individual,Samantha,Hayes,,2,3,1230825.62,410275.2066666667,3
C0324,Individual,Raymond,Parker,,4,3,1147121.25,382373.75,3
C0325,Individual,Maria,Flores,,5,4,1205175.56,301293.89,1
C0326,Individual,Daniel,Reed,68.07118412046543,4,4,1321975.5,330493.875,3
C0327,Individual,Elizabeth,Ward,64.90622861054072,1,4,1116366.72,279091.68,1
C0328,Individual,William,Young,,1,4,1356560.31,339140.0775,1
C0329,Individual,Diane,Morales,27.665982203969882,3,3,770062.4,256687.46666666667,1
C0330,Individual,Christian,Richardson,,1,4,1331463.63,332865.9075,1
C0331,Individual,Ann,Martin,,3,4,1546334.4,386583.6,3
C0332,Individual,Christopher,Price,,3,3,1209987.46,403329.1533333333,3
C0333,Individual,Helen,Hall,,3,3,1118960.06,372986.6866666667,3
C0334,Individual,Andrew,Roberts,75.84394250513347,3,4,1445655.93,361413.9825,3
C0335,Individual,Charles,Morris,,4,4,1478341.12,369585.28,3
C0336,Individual,Karen,Price,,5,3,1163690.5899999999,387896.8633333333,3
C0337,Individual,Nathan,Alexander,,3,3,759310.2,253103.4,1
C0338,Individual,Patrick,Flores,,5,4,1488671.1300000001,372167.78250000003,3
C0339,Individual,Keith,King,62.666666666666664,5,4,1548824.23,387206.0575,3
C0340,Individual,Daniel,Garcia,,2,3,1047500.4199999999,349166.80666666664,1
C0341,Individual,Carl,Chavez,43.56741957563313,4,4,1679555.42,419888.855,3
C0342,Individual,Kevin,Hughes,,2,3,1290567.3900000001,430189.13000000006,3
C0343,Individual,Joyce,Thompson,,2,4,1630923.97,407730.9925,3
C0344,Individual,Joshua,Jackson,,2,4,1276344.68,319086.17,1
C0345,Individual,Stephanie,Hall,,4,3,1339687.25,446562.4166666667,3
C0346,Individual,Amy,Nelson,63.00889801505818,5,3,1174812.8599999999,391604.2866666666,3
C0347,Individual,Mark,Reyes,,3,3,1378006.45,459335.48333333334,3
C0348,Individual,Jack,Pierce,,5,4,1482633.92,370658.48,3
C0349,Individual,Paul,Jackson,,2,3,1065745.84,355248.61333333334,3
C0350,Individual,Richard,Jones,33.48117727583847,2,3,1066408.3,355469.43333333335,3
C0351,Individual,Michelle,Watson,,5,4,1551113.76,387778.44,3
